time,open,high,low,close,volume,note
2021-08-27,580.0900,612.4900,578.0000,596.5000,2326898,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-30,569.9900,579.9000,538.0000,569.0500,3440148,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-08-31,564.0000,587.0100,553.0100,587.0100,3137891,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-01,595.0000,595.0000,545.4000,571.9600,2791184,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-02,560.0000,573.0000,536.0000,537.3200,2667943,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-03,534.7500,534.7900,509.3700,515.5000,2990307,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-06,513.6700,564.7700,508.0000,563.4700,3757321,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-07,563.4900,575.9300,550.0000,573.6900,2112499,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-08,573.6800,585.8700,553.0500,553.3900,2069825,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-09,554.0000,560.5000,538.6500,546.9800,1563692,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-10,547.9500,554.0000,538.0100,543.0000,1502356,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-13,538.1500,561.1800,533.0000,536.7500,1577013,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-14,534.1500,547.0000,531.4000,533.2500,1498623,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-15,533.0100,545.0000,516.8800,528.9300,1579928,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-16,521.0100,545.0000,513.5200,538.7200,2540532,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-17,538.0000,571.3000,517.7400,557.6500,3572219,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-22,544.9300,580.8800,541.1000,564.5000,2575117,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-23,560.0000,580.0600,553.0100,568.9000,2395863,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-24,567.4000,605.0000,556.2300,586.2300,4004381,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-27,570.0000,610.6500,560.0000,571.5800,3943562,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-28,565.0300,582.8500,550.3000,551.7100,2707615,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
