time,open,high,low,close,volume,note
2024-09-30,47.6000,52.5500,47.2100,52.5500,56147430,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-08,63.0600,63.0600,60.0000,63.0600,49170194,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-09,62.9000,74.0100,57.3700,65.3200,78045285,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-10,64.5000,65.2200,53.8600,57.5200,48022293,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-11,56.6000,60.6600,54.8300,56.6700,37889707,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-14,57.0000,62.1000,53.9000,61.8000,44203993,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-15,60.9000,65.1800,58.5800,58.6100,49106416,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-16,56.0000,59.0000,56.0000,57.4800,24557668,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-17,60.6000,62.6200,59.2000,59.4700,43039772,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-18,59.3000,65.0800,58.3000,62.9000,53923166,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-21,63.6500,68.2800,61.8800,65.5000,51384983,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-22,65.0000,65.0000,61.1600,62.6200,33219663,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-23,62.6200,63.8800,60.9200,61.2700,28420121,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-24,60.9700,62.3800,59.6400,60.0100,24467938,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-25,59.6000,60.8800,58.8900,59.3000,26478212,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-28,58.8800,59.4800,58.2100,59.4800,19133151,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-29,59.0700,60.5200,57.9900,58.0200,26929996,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-30,57.2700,59.1000,56.8100,58.8500,22209256,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-10-31,58.7600,59.4600,57.3700,58.0100,24315680,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-01,57.6000,58.1700,53.9400,53.9700,28275093,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-04,53.7900,55.9000,53.4000,55.4200,15457170,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-05,56.1100,61.0000,55.8200,59.9000,36408343,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-06,60.0500,60.3500,58.1700,58.6700,30017150,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-07,58.0200,60.0700,57.9000,60.0400,22463995,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-08,61.4000,62.8000,60.0800,60.7000,34637121,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-11,60.7600,63.5500,60.1400,63.5500,36130124,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-12,64.3500,64.4700,60.1700,61.2000,30884152,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-13,61.0000,62.1500,60.4000,61.9700,18657254,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-14,61.8900,61.9000,58.9000,59.0200,18554517,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-15,58.1800,60.5000,57.0100,57.2500,18654612,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-18,57.3100,57.9500,54.1200,54.6500,17626593,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-19,55.4100,57.9000,55.0300,57.8400,19055237,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-20,57.3100,58.2400,56.7000,57.9600,15382319,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-21,57.8900,58.1700,56.2500,57.1300,12995149,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-22,56.6500,57.9500,54.5500,54.5800,16179302,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-25,54.9400,55.2800,52.8000,54.1600,13062164,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-26,54.1700,54.6800,52.8800,52.9200,9560048,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-27,53.0000,54.4100,51.8100,54.4100,12145218,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-28,54.3800,54.8200,53.3800,53.4800,9137480,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-11-29,53.4200,55.9000,53.0000,55.0500,14936185,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-02,55.0600,56.4800,54.5800,55.8100,12857130,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-03,55.6300,56.0600,54.6800,55.3000,12231156,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-04,55.4000,55.7000,53.6900,53.9500,11697954,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-05,53.7000,54.9800,53.6700,54.4200,10585654,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-06,54.8700,56.2800,53.9300,55.6900,16969105,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-09,55.5900,58.5900,55.4000,57.2300,22007820,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-10,60.1000,60.4800,56.7700,56.8600,23423140,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-11,56.6000,65.5000,56.5700,63.2600,55732189,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-12,63.8900,64.9900,61.7500,63.0000,38946600,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-13,62.4800,70.5600,62.3000,66.1800,70044026,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-16,67.1300,67.1300,63.6900,64.0300,39897853,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-17,64.6900,64.8800,60.9000,61.5000,29276935,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-18,62.0000,65.9600,59.8800,64.6500,31555708,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-19,63.8800,67.5000,62.8000,67.0000,36667005,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-20,66.3300,68.1400,64.7800,65.6600,33275209,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-23,66.5000,68.9800,65.0000,65.2600,30696430,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-24,65.3500,66.3800,61.5500,62.9300,27705166,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-25,63.1900,64.3200,61.4700,62.0800,20047092,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-26,61.6000,64.1300,61.5700,64.0900,24302461,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-27,64.9900,69.8800,64.2900,65.3100,41033335,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-30,64.6700,66.8800,63.4400,64.7800,23542210,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2024-12-31,65.3000,65.5000,59.5000,59.5600,29148933,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-02,59.0000,59.0900,55.4100,55.9900,22484670,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-03,56.1300,56.8000,52.7700,52.8200,16676072,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-06,52.8000,55.5400,52.0900,53.0600,16316643,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-07,53.0000,54.0600,52.1600,54.0300,17056013,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-08,53.2500,53.5800,50.0000,52.7200,23825967,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-09,52.1800,53.6500,52.1100,53.0400,14910812,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-10,52.7600,54.2700,51.5300,51.5300,16518977,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-13,50.8900,51.6500,49.7000,50.8000,14952303,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-14,51.1000,53.2800,50.3800,53.2300,22140050,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-15,53.0000,54.3000,52.3100,52.8600,21083870,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-16,53.1800,55.9300,53.1000,53.7100,22742489,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-17,53.3500,53.9800,52.3800,53.1600,15458866,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-20,53.3800,54.3400,53.1500,53.5300,13800579,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-21,54.1600,57.5900,53.6000,57.1900,33142135,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-22,56.0300,56.8000,54.9300,55.2800,21614166,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-23,55.9900,57.6500,55.1600,55.1600,20092500,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-24,55.1600,65.9000,55.0100,64.9200,67979966,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-01-27,65.7200,66.9500,61.6000,62.1400,36594895,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-05,66.5900,66.7900,63.6800,65.3400,45655821,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-06,65.2500,70.3100,64.5700,69.9900,51567454,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-07,70.5000,75.0000,67.8000,68.9900,71383617,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-10,69.3300,71.9400,68.0700,71.1000,42384196,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-11,71.1000,72.3300,68.7100,69.0300,33989109,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-12,68.6000,70.3600,68.2400,69.2400,30414611,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-13,68.8000,69.1300,65.8000,65.8000,36431472,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-14,65.6500,67.5500,64.7000,66.8400,28791067,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-17,67.8500,69.1900,66.3200,67.4900,31219467,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-18,66.9200,67.1000,63.4500,63.4600,28934952,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-19,63.8500,65.9100,63.1700,65.4000,27019495,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-20,66.1200,67.0800,65.2100,66.5700,33363876,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-21,66.9800,67.2700,65.1400,66.7000,33427223,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-24,66.8000,68.6700,66.3400,67.2000,37709321,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-25,65.5000,69.6800,65.1800,67.4600,38802168,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-26,67.7000,69.9000,66.6600,69.2000,38112832,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-27,69.2200,71.2000,65.8600,67.8900,35283704,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-02-28,66.0000,66.8700,61.1100,61.5900,35781397,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-03,61.5000,62.5600,60.0600,61.0500,19382357,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-04,60.3700,63.7800,60.1400,62.5400,18182630,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-05,63.2500,65.8500,63.0000,63.5600,19777852,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-06,64.2500,67.3500,63.8100,65.9100,27908399,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-07,66.0000,68.0600,64.6800,65.3300,26767335,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-10,64.6500,65.3300,63.6900,63.9800,15976182,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-11,62.8800,64.9700,62.6700,63.6800,13536564,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-12,64.6800,64.7000,63.3500,63.3500,15077939,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-13,63.0500,63.6500,61.0000,61.8300,16420449,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-14,61.8100,64.5000,61.6000,64.3800,18784294,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-17,64.3900,67.4400,64.0000,66.5200,28535237,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-18,66.3000,66.7800,65.4000,65.8300,16934046,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-19,65.5200,67.3500,64.5100,65.7300,18693941,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-20,65.4800,65.5000,63.6300,63.6500,14913546,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-21,63.0100,64.9800,61.8000,61.8300,17463169,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-24,61.9100,61.9900,58.9700,61.0000,16107033,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-25,60.6100,61.0000,59.1100,59.3900,10166100,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-26,59.3500,60.2000,58.7200,58.7600,10146020,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-27,58.6800,59.4800,58.0100,58.7700,8967159,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-03-28,58.9000,59.3000,57.6500,57.6500,8611267,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
