time,open,high,low,close,volume,note
2021-09-02,121.4700,122.3600,113.9800,116.6000,4577170,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-03,116.5800,119.9400,113.5100,116.8300,3171986,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-06,115.1000,124.6000,113.5500,124.0000,4139206,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-07,123.9000,124.7000,117.1700,118.1800,4594468,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-08,118.1800,119.5600,114.7000,118.5100,3013240,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-09,117.9000,118.7900,114.6300,115.1000,2113440,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-10,115.4400,126.6100,114.5700,126.6100,4421732,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-13,113.9500,113.9500,113.9500,113.9500,5010000,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-14,102.5600,102.5600,102.5600,102.5600,3008600,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-15,92.3000,109.5000,92.3000,107.0100,33929246,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-16,105.0100,113.0000,104.3000,109.1000,15849323,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-17,109.0900,120.0100,109.0800,120.0100,15610271,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-22,119.0000,123.1100,115.0000,118.5200,10116923,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-23,120.3000,125.5000,118.6500,121.4400,7955873,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-24,121.4400,121.4500,116.8800,118.5000,6216652,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-27,118.5000,120.5900,112.8600,113.8000,6664361,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-28,113.0000,114.0000,108.9300,109.1700,10334113,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-29,109.1700,110.0000,102.4000,105.6000,10051857,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-09-30,104.0000,116.1600,103.5200,116.1600,8675450,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-08,117.7600,120.2200,114.1800,115.8600,7537781,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-11,116.1000,119.1000,113.0200,118.8500,8285000,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-12,121.2600,123.0900,112.6600,112.7600,11706629,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-13,115.1500,115.1600,109.2800,112.2200,6361040,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-14,112.1900,114.9700,110.4000,110.6200,4765029,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-15,110.6000,119.4900,109.0000,118.7100,10431820,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-18,118.0000,118.0000,112.6000,114.0000,7604009,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-19,113.8000,115.0000,112.5000,113.2700,5066724,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-20,114.3300,115.7000,111.5000,113.9000,5045003,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-21,113.9300,114.5000,109.6000,110.0500,6685029,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-22,112.0000,117.8000,111.0400,115.4300,10737174,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-25,116.3300,119.1600,112.0100,117.5800,10010356,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-26,117.8000,117.8000,113.0500,116.3700,8947037,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-27,115.3900,117.2800,114.0000,115.5700,5483900,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-28,115.6000,118.2100,114.6000,116.7500,6429593,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-10-29,116.8500,119.2500,115.5000,117.5900,8233102,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-01,116.8400,121.1000,115.7500,120.3000,10753721,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-02,120.4300,130.8600,120.4100,128.9400,16108186,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-03,128.9400,134.7700,124.2000,132.5000,16244930,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-04,133.0000,134.6900,129.0300,132.5200,9305864,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-05,133.5900,136.9800,131.0000,132.5900,9662802,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-08,131.0000,132.4800,125.5000,129.7800,7392193,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-09,128.8800,133.3900,128.6000,132.9700,5902593,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-10,132.0000,140.5000,131.1000,138.6000,10961710,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-11,136.0600,145.8800,135.0900,139.7200,12187870,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-12,138.0500,142.8000,136.0800,139.2500,7034194,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-15,139.0000,140.9900,135.0100,135.5200,6047904,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-16,135.0400,139.0000,131.8000,132.0000,7057432,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-17,131.9500,133.5800,129.6000,132.8600,5256461,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-18,130.6400,133.7700,128.3000,128.8500,6164937,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-19,128.5100,131.2800,125.9400,126.2800,7031692,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-22,125.6400,136.0800,124.5300,135.5500,10241164,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-23,135.4000,142.0000,134.7100,139.1900,8841718,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-24,137.9500,141.2500,134.5600,136.7700,6880791,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-25,135.5000,140.3300,135.1000,136.5900,5877797,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-26,135.8200,137.8100,133.5400,134.0000,4492293,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-29,131.6600,136.4800,130.0300,135.9000,5315537,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-11-30,136.4400,139.3900,135.0000,136.0000,5790884,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-01,134.8100,138.2600,131.8500,132.9300,5671083,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-02,131.0100,134.7000,130.6100,131.4500,3737469,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-03,131.3300,142.5000,131.3200,141.9800,11527899,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-06,142.0100,143.0000,132.0600,132.5000,10765605,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-07,132.5500,133.9900,126.4300,128.1900,6443717,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-08,130.0100,137.1700,129.0100,136.4500,8100514,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-09,137.0000,137.7000,131.5500,136.1600,6257957,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-10,134.5100,141.9800,134.0000,136.1900,11847665,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-13,139.5000,140.0000,135.0000,138.0500,6604059,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-14,137.0000,142.8800,135.2800,139.6600,6960236,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-15,140.0000,140.8300,136.0000,136.1800,5083837,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-16,137.0000,139.3800,136.4400,136.9000,3626800,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-17,135.3900,135.9600,130.5500,133.1000,5607506,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-20,131.7200,133.3000,127.4600,128.1500,4998900,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
2021-12-21,128.3400,130.6000,127.1800,130.1000,3055267,sh.605358 | 立昂微 | baostock | adjustflag=3 raw
