time,open,high,low,close,volume,note
2022-11-14,257.0000,268.0000,253.5600,265.0000,6583681,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-15,263.0000,278.9900,261.5900,264.7800,5955874,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-16,265.7300,274.8900,263.0100,265.7000,2830846,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-17,265.0700,286.0000,258.4200,282.8800,5762135,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-18,278.1200,284.9900,270.0300,271.0400,4312247,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-21,270.0100,272.3600,259.0000,268.6200,3339199,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-22,268.0800,270.8800,261.5800,267.0400,2078392,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-23,265.1500,269.3200,257.0000,265.3000,2577302,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-24,265.8700,269.9600,253.1500,256.6300,3826989,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-25,258.0000,260.9900,253.0000,256.9000,2440353,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-28,251.9500,261.5000,247.8000,253.7000,4380608,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-29,256.3300,258.9800,251.1600,254.5200,3436679,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-11-30,253.1000,255.7800,245.0300,255.7800,3436839,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-01,253.0000,266.8000,245.0300,265.9800,5661892,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-02,265.3700,269.5000,254.5900,255.3000,3168225,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-05,255.4400,264.9800,255.4400,256.4600,2927120,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-06,256.0200,262.8400,251.0000,262.0000,2868217,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-07,260.9300,261.8900,252.2000,254.4900,2473424,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-08,253.0000,255.6200,247.8600,249.1500,2672409,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-09,250.9900,257.0000,245.8900,250.1700,3342837,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-12,250.3000,261.5600,247.5600,260.5700,2801080,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-13,259.3500,266.0000,258.0100,262.6000,2917678,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-14,265.0000,266.4400,256.0200,257.7800,2211558,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-15,263.7400,266.0000,254.0100,259.0000,2004013,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-16,257.5800,260.0000,250.8900,253.5200,1781867,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-19,253.5000,253.5200,245.0000,247.1000,2358044,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-20,247.9700,250.9700,234.0200,238.9000,3465471,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-21,239.0000,246.3300,237.6500,240.9600,1833301,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-22,241.7300,245.5000,237.3600,239.9000,1884690,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-23,240.0000,248.5300,235.0000,246.0000,1758064,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-26,245.0900,251.6200,241.8700,250.2000,2446764,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-27,250.3000,259.4800,249.0000,257.0900,2258168,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-28,256.7100,265.0000,255.5000,259.4100,3198605,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-29,257.8800,275.0000,256.2700,267.0000,3473400,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2022-12-30,264.4200,273.9800,261.0300,264.4900,1934916,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-03,264.1900,284.9800,262.8800,283.9400,3699425,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-04,285.0000,285.8000,277.6000,281.5800,1845119,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-05,282.6100,282.6100,274.0100,275.8000,2253887,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-06,276.5100,280.9500,270.0000,278.4900,2351916,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-09,277.0000,277.0000,269.8800,273.2700,2054161,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-10,275.0000,275.1400,269.0900,272.3700,1325768,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-11,272.9100,275.0000,266.2000,267.5600,1538296,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-12,267.1200,278.5000,265.5500,270.8100,2066476,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-13,270.7600,270.7600,264.9900,268.5100,1548921,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-16,268.5100,282.2800,267.5000,278.9900,2520032,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-17,278.0000,282.3000,275.4500,276.9000,1080575,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-18,276.9000,288.8800,275.5100,282.7500,2740418,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-19,283.9900,300.0800,281.0100,294.6800,3110725,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-20,294.2500,303.3000,291.0000,294.7000,2212726,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-30,307.0000,328.6800,296.3800,302.0800,5289045,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-01-31,303.0000,304.0000,279.9900,281.3000,4397034,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-01,288.0000,291.9400,280.5100,291.0000,3721779,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-02,293.0000,317.8800,293.0000,306.1800,4365535,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-03,305.0200,323.0000,305.0200,323.0000,5105620,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-06,325.9700,345.0000,308.5700,314.7900,8070577,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-07,319.9000,319.9700,295.0000,303.0000,7548447,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-08,300.0000,306.9600,295.6300,303.3700,4356870,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-09,300.4300,319.5000,292.0000,318.0000,4593204,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-10,314.7700,315.9500,290.6600,294.5800,5608293,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-13,292.0100,296.8800,286.0000,289.9200,4816364,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-14,294.3900,302.9800,290.0000,296.6900,3897789,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-15,296.8500,300.5900,288.0000,295.2300,3489367,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-16,295.2300,308.0900,294.0000,297.8600,3552233,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-17,296.3500,297.8600,277.0200,277.6200,4868037,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-20,275.0000,285.0000,273.5000,282.2900,2737295,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-21,280.0000,286.9800,274.1200,278.1000,3441606,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-22,275.0000,283.8000,271.0000,280.0000,3330053,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-23,277.2200,283.6000,274.0700,276.6400,1813184,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-24,276.7500,283.1000,273.1300,281.0700,2586843,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-27,282.9800,293.3300,279.2800,288.7100,3549019,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-02-28,292.6000,302.9000,286.9000,291.0000,3723325,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-01,291.9800,303.0500,288.0000,300.0000,3223034,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-02,297.3800,317.0000,294.0200,305.5000,3750278,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-03,305.6600,306.5800,294.7700,299.0000,2667136,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
