time,open,high,low,close,volume,note
2010-10-22,6.6300,6.6600,6.5200,6.5300,8516826,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-25,6.5500,6.5900,6.4700,6.5800,13559818,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-26,6.5900,6.6000,6.4500,6.4700,15992581,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-27,6.4700,6.5500,6.4300,6.4400,11981624,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-28,6.4400,6.4900,6.3700,6.4000,9561481,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-10-29,6.4000,6.4700,6.3600,6.4400,9191109,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-01,6.4600,6.5300,6.4400,6.5200,15099968,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-02,6.5200,6.5400,6.3900,6.4300,18969389,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-03,6.4500,6.4500,6.3400,6.3500,13310327,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-04,6.3300,6.4100,6.3100,6.3900,9685835,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-05,6.4300,6.4500,6.3800,6.4300,10689999,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-08,6.4600,6.5400,6.4200,6.5400,16104692,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-09,6.5500,6.5600,6.4500,6.4800,11838201,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-10,6.4800,6.4900,6.3500,6.3800,11297565,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-11,6.3800,6.5200,6.3500,6.4800,17253837,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-12,6.4600,6.4800,6.1100,6.1200,17416924,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-15,6.1400,6.2300,6.1000,6.1600,7976932,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-16,6.1200,6.1800,6.0000,6.0200,11310380,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-17,6.0100,6.0900,5.9500,6.0100,8421983,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-18,6.0400,6.0800,5.9800,6.0200,5697583,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-19,6.0300,6.1000,5.8800,6.0900,13190892,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
