time,open,high,low,close,volume,note
2026-04-24,8.1200,8.1400,7.9600,7.9900,25368432,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-27,8.0100,8.0600,7.9700,7.9700,18064240,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-28,7.9400,8.0200,7.9300,7.9900,14853177,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-29,8.0200,8.1200,8.0000,8.0900,14717266,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-04-30,8.0900,8.1300,8.0000,8.0300,17928273,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-06,8.0400,8.2900,8.0300,8.2200,35126758,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-07,8.2200,8.2500,8.1900,8.2300,15230899,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-08,8.2300,8.4100,8.2100,8.3200,18947756,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-11,8.3200,8.3400,8.2500,8.3100,15314725,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-12,8.3000,8.3800,8.2000,8.2100,17010209,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-13,8.2300,8.2400,8.0600,8.0800,20372878,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-14,8.0800,8.0900,7.9200,7.9200,19519482,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-15,7.9200,7.9600,7.7800,7.8100,21490370,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-18,7.7700,7.8200,7.5700,7.6400,22293633,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-19,7.6400,7.7000,7.5600,7.6700,16920828,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-20,7.6700,7.6700,7.4600,7.5200,18711426,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-21,7.5100,7.6000,7.3900,7.4000,25250944,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-22,7.4100,7.4800,7.3200,7.3900,20306549,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-25,7.4000,7.4500,7.3500,7.4500,12193501,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-26,7.4300,7.5000,7.4000,7.4700,10662238,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-27,7.4600,7.5300,7.3000,7.3700,14447389,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-28,7.3700,7.4300,7.3100,7.3200,9603080,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-05-29,7.3300,7.8100,7.3300,7.6500,35485840,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-01,7.6500,7.7600,7.5600,7.7500,24796402,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-02,7.7500,7.8000,7.6100,7.6100,17556624,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-03,7.6000,7.6300,7.4500,7.4900,15692166,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-04,7.4900,7.5300,7.3100,7.3500,12210876,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-05,7.3800,7.4300,7.2700,7.3200,16081335,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-08,7.2300,7.2700,7.1000,7.1900,19140771,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-09,7.1800,7.2100,7.1300,7.1400,11548376,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-10,7.1400,7.3100,7.1200,7.2800,16271282,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-11,7.2700,7.3300,7.2000,7.2700,12201564,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-12,7.2900,7.5600,7.2400,7.4900,25195434,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-15,7.5000,7.7000,7.4900,7.6500,20084120,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
