time,open,high,low,close,volume,note
2026-04-24,6.6100,6.6200,6.5400,6.5500,36667183,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-27,6.5500,6.5900,6.4800,6.5200,42696047,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-28,6.5200,6.5900,6.4700,6.5100,59329950,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-29,6.4900,6.5500,6.4800,6.5400,66732846,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-04-30,6.6300,6.7900,6.6100,6.7100,90717803,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-06,6.7100,6.7500,6.6600,6.7400,54681022,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-07,6.7500,6.7600,6.6600,6.6900,38363491,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-08,6.6800,6.7300,6.6700,6.6800,34877495,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-11,6.6700,6.7900,6.6300,6.7500,51181191,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-12,6.7600,6.8800,6.7300,6.8200,56346765,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-13,6.8000,6.8200,6.6800,6.7600,38396439,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-14,6.7500,6.7800,6.6500,6.6500,30492588,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-15,6.6400,6.6600,6.4800,6.5000,42507689,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-18,6.4800,6.5300,6.3700,6.4300,43160231,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-19,6.4300,6.5300,6.3100,6.5200,33580206,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-20,6.4900,6.4900,6.4200,6.4400,24387628,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-21,6.4600,6.6500,6.4400,6.4500,55691359,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-22,6.4600,6.4900,6.3200,6.3500,42323590,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-25,6.3800,6.4200,6.3500,6.4200,28719134,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-26,6.3900,6.5900,6.3700,6.5300,53616421,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-27,6.5200,6.6000,6.4100,6.4700,36228660,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-28,6.4800,6.4900,6.3100,6.3300,38979554,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-05-29,6.3400,6.4900,6.3300,6.4400,42814484,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-01,6.4500,6.4900,6.3800,6.4900,37036359,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-02,6.4600,6.5100,6.4000,6.4600,34301504,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-03,6.4300,6.4600,6.3800,6.4100,27767820,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-04,6.4000,6.4400,6.2800,6.3000,31040929,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-05,6.3300,6.4000,6.3000,6.3300,25222882,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-08,6.2700,6.3300,6.1800,6.2000,36282545,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-09,6.2000,6.2200,6.1500,6.2000,25699022,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-10,6.1800,6.3200,6.1500,6.3100,36896130,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-11,6.2800,6.3500,6.1400,6.1900,33176815,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-12,6.2000,6.4800,6.1500,6.4600,68409705,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-15,6.4900,6.7200,6.4600,6.5600,71065837,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-16,6.5400,6.6300,6.4900,6.6100,44043056,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-17,6.5800,6.6400,6.5100,6.5600,33373991,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-18,6.5200,6.5800,6.3400,6.3600,43093235,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-22,6.3200,6.7000,6.3000,6.6800,78241752,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-23,6.6800,6.8200,6.6300,6.6800,78734725,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-24,6.6700,6.7900,6.5100,6.5400,54700082,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-25,6.5200,6.8500,6.4700,6.7800,91935120,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-26,6.7400,6.8100,6.5000,6.5100,73602979,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-29,6.5100,6.6300,6.4500,6.5700,50185010,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-06-30,6.5400,6.6600,6.4700,6.5500,47479139,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-07-01,6.4500,6.6800,6.3900,6.6400,74447267,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-07-02,6.6400,6.6700,6.5100,6.5400,53964676,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-07-03,6.5700,6.6300,6.4700,6.5700,47757162,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-07-06,6.6300,6.6800,6.5700,6.6600,45468490,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-07-07,6.6300,6.6500,6.4700,6.5200,35229869,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-07-08,6.5000,6.5500,6.4400,6.4700,28852724,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
2026-07-09,6.4600,6.5700,6.4200,6.5500,36853608,sh.600061 | 国投资本 | baostock | adjustflag=3 raw
