time,open,high,low,close,volume,note
2026-05-19,6.4400,6.5300,6.4000,6.4600,17816496,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-20,6.4300,6.4400,6.3300,6.3900,16154509,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-21,6.3900,6.4900,6.3500,6.3800,17426573,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-22,6.3900,6.4200,6.3200,6.3400,16874756,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-25,6.3600,6.3900,6.2800,6.3100,16272899,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-26,6.3100,6.4000,6.2700,6.3900,16257222,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-27,6.3900,6.4600,6.2600,6.3000,16404302,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-28,6.2800,6.4200,6.1700,6.2200,15434777,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-05-29,6.2700,6.3900,6.2000,6.3600,22855443,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-01,6.3700,6.5100,6.3300,6.4900,24644248,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-02,6.4900,6.5200,6.2800,6.2800,19652311,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-03,6.3000,6.3000,6.1000,6.1200,21930181,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-04,6.1100,6.1500,5.9900,6.0200,18180453,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-05,6.0500,6.1000,5.9500,5.9800,15337792,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-08,5.9400,6.0000,5.8000,5.8700,17331317,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-09,5.8800,5.9000,5.8100,5.8400,15100864,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-10,5.7900,6.0100,5.7900,5.9700,21199117,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-11,5.9500,6.0100,5.9000,5.9800,19138993,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-12,5.9800,6.1900,5.9500,6.1800,33251696,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-15,6.2000,6.3300,6.1800,6.2400,22141539,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-16,6.2000,6.2400,6.0700,6.1000,17280760,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-17,6.0000,6.0200,5.9000,5.9400,11900327,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-18,5.8800,5.9600,5.8500,5.8600,13030056,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-22,5.8100,5.8500,5.6400,5.8400,18449489,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-23,5.8300,5.9100,5.7600,5.7800,13521677,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-24,5.8100,5.8100,5.6300,5.6700,14821464,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-25,5.6700,5.7200,5.5900,5.6400,13201375,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-26,5.6400,5.6500,5.5000,5.5200,12843590,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-29,5.5000,5.5800,5.3400,5.5400,16802130,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-06-30,5.5600,5.5600,5.3600,5.4200,14961874,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-07-01,5.4300,5.5500,5.3400,5.5000,19084675,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-07-02,5.5200,5.6300,5.4600,5.5700,17959650,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-07-03,5.5900,5.7000,5.5800,5.6500,15898046,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-07-06,5.6600,5.9600,5.6300,5.9500,24245074,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-07-07,5.9400,6.0000,5.7800,5.8600,16966483,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-07-08,5.8300,5.9200,5.7200,5.8200,15065576,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
2026-07-09,5.8200,5.8300,5.6600,5.7000,15089235,sh.600057 | 厦门象屿 | baostock | adjustflag=3 raw
